navigation_area,configured_id,displayed_label,route,hub_id,route_exists,current_count,duplicate_destination,indexation_recommendation,note
Categories,for-kids,Coloring Pages for Kids,/coloring-pages/for-kids,hub_for_kids,true,1335,false,manual editorial review,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,detailed-for-adults,Detailed Coloring Pages for Adults,/coloring-pages/detailed-for-adults,hub_detailed_for_adults,true,1459,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,animals,Animals,/coloring-pages/animals,hub_animals,true,1450,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,plushies,Plushies,/coloring-pages/plushies,hub_plushies,true,1704,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,mandalas,Mandalas,/coloring-pages/mandalas,hub_mandalas,true,23,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,fantasy,Fantasy,/coloring-pages/fantasy,hub_fantasy,true,1265,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,dinosaurs,Dinosaurs,/coloring-pages/dinosaurs,hub_dinosaurs,true,189,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,vehicles,Vehicles,/coloring-pages/vehicles,hub_vehicles,true,373,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,easy,Easy,/coloring-pages/easy,hub_easy,true,1300,false,manual editorial review,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,chibi,Chibi,/coloring-pages/chibi,hub_chibi,true,908,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,kawaii,Kawaii,/coloring-pages/kawaii,hub_kawaii,true,88,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,cute,Cute,/coloring-pages/cute,hub_cute,true,375,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,flowers,Flowers,/coloring-pages/flowers,hub_flowers,true,346,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,sea-life,Sea Life,/coloring-pages/sea-life,hub_sea_life,true,236,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,food,Food,/coloring-pages/food,hub_food,true,261,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,buildings,Buildings,/coloring-pages/buildings,hub_buildings,true,156,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,plants,Plants,/coloring-pages/plants,hub_plants,true,586,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,fantasy-creatures,Fantasy Creatures,/coloring-pages/fantasy-creatures,hub_fantasy_creatures,true,531,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,anime-girls,Anime Girls,/coloring-pages/anime-girls,hub_anime_girls,true,905,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,geometric,Geometric,/coloring-pages/geometric,hub_geometric,true,55,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,holidays,Holidays,/coloring-pages/holidays,hub_holidays,true,874,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,birthday,Birthday,/coloring-pages/birthday,hub_birthday,true,211,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,st-patricks-day,St. Patrick's Day,/coloring-pages/st-patricks-day,hub_st_patricks_day,true,20,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,christmas,Christmas,/coloring-pages/christmas,hub_christmas,true,332,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
Categories,halloween,Halloween,/coloring-pages/halloween,hub_halloween,true,305,false,retain and index,Curated primary-navigation destination; omission of other hubs is not itself a defect.
