left_hub_id,left_title,left_route,left_count,right_hub_id,right_title,right_route,right_count,relationship,exact_inventory,intersection_count,union_count,jaccard_similarity,left_contained_in_right,right_contained_in_left,unique_to_left,unique_to_right,automated_warning,destructive_action_taken
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_animals,Animals Coloring Pages,/coloring-pages/animals,1450,right child of left,false,1450,6352,0.228275,0.228275,1,4902,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_anime_girls,Anime Girls Coloring Pages,/coloring-pages/anime-girls,905,right child of left,false,905,6352,0.142475,0.142475,1,5447,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_bakery,Bakery Coloring Pages,/coloring-pages/bakery,93,other,false,93,6352,0.014641,0.014641,1,6259,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_bats,Bats Coloring Pages,/coloring-pages/bats,27,other,false,27,6352,0.004251,0.004251,1,6325,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_bears,Bears Coloring Pages,/coloring-pages/bears,60,other,false,60,6352,0.009446,0.009446,1,6292,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_bees,Bees Coloring Pages,/coloring-pages/bees,15,other,false,15,6352,0.002361,0.002361,1,6337,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_beetles,Beetles Coloring Pages,/coloring-pages/beetles,25,other,false,25,6352,0.003936,0.003936,1,6327,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_birds,Birds Coloring Pages,/coloring-pages/birds,188,other,false,188,6352,0.029597,0.029597,1,6164,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_birthday,Birthday Coloring Pages,/coloring-pages/birthday,211,other,false,211,6352,0.033218,0.033218,1,6141,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_brachiosaurus,Brachiosaurus Coloring Pages,/coloring-pages/brachiosaurus,15,other,false,15,6352,0.002361,0.002361,1,6337,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_bridges,Bridges Coloring Pages,/coloring-pages/bridges,23,other,false,23,6352,0.003621,0.003621,1,6329,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_buildings,Buildings Coloring Pages,/coloring-pages/buildings,156,right child of left,false,156,6352,0.024559,0.024559,1,6196,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_butterflies,Butterflies Coloring Pages,/coloring-pages/butterflies,26,other,false,26,6352,0.004093,0.004093,1,6326,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_cakes,Cakes Coloring Pages,/coloring-pages/cakes,21,other,false,21,6352,0.003306,0.003306,1,6331,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_cars,Cars Coloring Pages,/coloring-pages/cars,193,other,false,193,6352,0.030384,0.030384,1,6159,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_castles,Castles Coloring Pages,/coloring-pages/castles,25,other,false,25,6352,0.003936,0.003936,1,6327,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_cats,Cats Coloring Pages,/coloring-pages/cats,55,other,false,55,6352,0.008659,0.008659,1,6297,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_chess,Chess Coloring Pages,/coloring-pages/chess,23,other,false,23,6352,0.003621,0.003621,1,6329,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_chibi,Chibi Coloring Pages,/coloring-pages/chibi,908,other,false,908,6352,0.142947,0.142947,1,5444,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_chibi_dogs,Chibi Dogs Coloring Pages,/coloring-pages/chibi-dogs,79,other,false,79,6352,0.012437,0.012437,1,6273,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_chibi_flowers,Chibi Flowers Coloring Pages,/coloring-pages/chibi-flowers,152,other,false,152,6352,0.023929,0.023929,1,6200,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_christmas,Christmas Coloring Pages,/coloring-pages/christmas,332,other,false,332,6352,0.052267,0.052267,1,6020,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_christmas_dogs,Christmas Dogs Coloring Pages,/coloring-pages/christmas-dogs,36,other,false,36,6352,0.005668,0.005668,1,6316,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_cows,Cows Coloring Pages,/coloring-pages/cows,14,other,false,14,6352,0.002204,0.002204,1,6338,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_crabs,Crabs Coloring Pages,/coloring-pages/crabs,21,other,false,21,6352,0.003306,0.003306,1,6331,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_cute,Cute Coloring Pages,/coloring-pages/cute,375,other,false,375,6352,0.059037,0.059037,1,5977,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_deer,Deer Coloring Pages,/coloring-pages/deer,15,other,false,15,6352,0.002361,0.002361,1,6337,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_detailed_for_adults,Detailed Coloring Pages for Adults,/coloring-pages/detailed-for-adults,1459,right child of left,false,1459,6352,0.229691,0.229691,1,4893,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_dinosaurs,Dinosaurs Coloring Pages,/coloring-pages/dinosaurs,189,other,false,189,6352,0.029754,0.029754,1,6163,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_diplodocus,Diplodocus Coloring Pages,/coloring-pages/diplodocus,16,other,false,16,6352,0.002519,0.002519,1,6336,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_dogs,Dogs Coloring Pages,/coloring-pages/dogs,284,other,false,284,6352,0.04471,0.04471,1,6068,0,high containment,false
hub_coloring_pages,Coloring Pages,/coloring-pages,6352,hub_dolphins,Dolphins Coloring Pages,/coloring-pages/dolphins,14,other,false,14,6352,0.002204,0.002204,1,6338,0,high containment,false
